fid,name
1121,차익매도위탁선물금액
1122,차익매도자기선물금액
1123,차익매수위탁선물금액
1124,차익매수자기선물금액
1125,차익매도위탁CALL금액
1126,차익매도자기CALL금액
1127,차익매수위탁CALL금액
1128,차익매수자기CALL금액
1129,차익매도위탁PUT금액
1130,차익매도자기PUT금액
1131,차익매수위탁PUT금액
1132,차익매수자기PUT금액
1134,기관순매매수량
1135,기관순매매금액
1136,기관순매수수량
1137,외인순매수수량
1138,외국계
1139,프로그램
1140,순매매수량
1141,순매매금액
1142,추정평균가
1143,평균가대비
1144,대비율
1145,기간거래량
1146,한도소진율
1148,외인순매매평균가
1179,차익매도선물금액
1180,차익매수선물금액
1181,차익매도CALL금액
1182,차익매수CALL금액
1183,차익매도PUT금액
1184,차익매수PUT금액
1188,외국계
1189,프로그램
1201,역사적변동성1
1202,역사적변동성2
1203,역사적변동성3
1204,선물역사적변동성1
1205,선물역사적변동성2
1206,선물역사적변동성3
1215,기관추정평균가
1217,외인추정평균가
1221,발동가격
1223,매매체결처리시각
1224,VI해제시각
1225,VI적용구분
1236,정적기준가격
1237,동적기준가격
1238,정적괴리율
1239,동적괴리율
1341,원주가격
1342,ETF과세유형
1344,업종명
1369,체결강도5분
1370,체결강도20분
1371,체결강도60분
1396,ETN과세유형
1400,장중거래량
1401,장후거래량
1402,장전거래량
1404,장중거래대금
1405,장후거래대금
1406,장전거래대금
1408,장중거래비중
1409,장후거래비중
1410,장전거래비중
1411,장중거래대금비중
1412,장후거래대금비중
1413,장전거래대금비중
1414,외인순매매수량
1415,외인순매매금액
1489,시가대비등락률
1490,VI발동횟수
1600,PER
1601,PBR
1604,EPS
1605,BPS
1608,EV
1610,매출액
1611,영업이익
1614,당기순이익
1630,ROE
1683,유통주식
1684,유통비율
1805,금융투자
1811,보험
1817,투신
1823,사모펀드
1829,은행
1835,기타금융
1841,연기금등
1847,국가
1853,기타법인
1859,개인투자자
1965,외국인투자자
1971,내외국인
1977,기관계
3501,마지막틱갯수
3502,수정주가구분
3503,수정비율
6001,금융투자
6002,보험
6003,투신
6004,은행
6005,기타금융
6006,연기금등
6007,기타법인
6008,개인투자자
6009,외국인투자자
6010,내외국인
6012,국가
6013,사모펀드
6014,기관계
6021,증권순매수
6022,보험순매수
6023,투신순매수
6024,은행순매수
6025,종신금순매수
6026,기금순매수
6027,기타법인순매수
6028,개인순매수
6029,외국인순매수
6030,내국인대우외국인순매수
6032,국가순매수
6033,사모펀드순매수
6034,기관계순매수
8000,개인투자자
8002,결제잔고
8003,결제금액
8004,전일매도수량
8005,전일매수수량
8006,전일매도금액
8007,전일매수금액
8008,전일순매수량
8018,손익
8019,손익율
8020,신용구분
8021,대출일
8040,평가금액
8041,잔고구분
8042,체결구분
9001,종목코드
9004,기준일자
9019,근접율
9026,회원사코드
9201,계좌번호
9203,주문번호
9205,관리사번
10010,시간외단일가_현재가
10011,시간외단일가_전일대비
10012,시간외단일가_등락률
10013,시간외단일가_누적거래량
10023,예상체결가
10024,예상체결수량
10025,시간외단일가_전일대비기호
10041,시간외단일가_매도호가1
10042,시간외단일가_매도호가2
10043,시간외단일가_매도호가3
10044,시간외단일가_매도호가4
10045,시간외단일가_매도호가5
10051,시간외단일가_매수호가1
10052,시간외단일가_매수호가2
10053,시간외단일가_매수호가3
10054,시간외단일가_매수호가4
10055,시간외단일가_매수호가5
10061,시간외단일가_매도호가수량1
10062,시간외단일가_매도호가수량2
10063,시간외단일가_매도호가수량3
10064,시간외단일가_매도호가수량4
10065,시간외단일가_매도호가수량5
10071,시간외단일가_매수호가수량1
10072,시간외단일가_매수호가수량2
10073,시간외단일가_매수호가수량3
10074,시간외단일가_매수호가수량4
10075,시간외단일가_매수호가수량5
10081,시간외단일가_매도호가직전대비1
10082,시간외단일가_매도호가직전대비2
10083,시간외단일가_매도호가직전대비3
10084,시간외단일가_매도호가직전대비4
10085,시간외단일가_매도호가직전대비5
10091,시간외단일가_매수호가직전대비1
10092,시간외단일가_매수호가직전대비2
10093,시간외단일가_매수호가직전대비3
10094,시간외단일가_매수호가직전대비4
10095,시간외단일가_매수호가직전대비5
10121,시간외단일가_매도호가총잔량
10125,시간외단일가_매수호가총잔량
13000,평가손익
28669,자본지지점
